City,avg_runs,avg_wickets,avg_balls,avg_overs,avg_run_rate,avg_pp_runs,avg_pp_wickets,avg_pp_run_rate,innings_count
Abu Dhabi,145.28205128205127,5.410256410256411,112.8076923076923,18.80128205128205,7.702182868387883,43.17948717948718,1.4230769230769231,7.264959813441594,78
Ahmedabad,161.04054054054055,5.797297297297297,115.58108108108108,19.263513513513512,8.467398762260835,47.95945945945946,1.472972972972973,7.967954660427685,74
Bangalore,152.59821428571428,5.571428571428571,112.82142857142857,18.803571428571427,8.19349310869464,43.955357142857146,1.4107142857142858,7.194870762516333,112
Bengaluru,180.1551724137931,6.172413793103448,119.25862068965517,19.876436781609193,9.154648912096471,52.310344827586206,1.5517241379310345,8.62027652739994,58
Bloemfontein,132.25,6.25,125.0,20.833333333333336,6.350433258243566,33.5,2.25,5.117155870445345,4
Cape Town,112.3125,5.8125,96.1875,16.03125,8.743474018618247,37.125,1.6875,8.172760749652197,16
Centurion,152.20833333333334,5.541666666666667,119.41666666666667,19.90277777777778,7.667348647886972,45.25,1.625,7.151452042225469,24
Chandigarh,163.76363636363635,5.709090909090909,118.76363636363637,19.793939393939397,8.271083256944442,49.28181818181818,1.3818181818181818,7.951862114050818,110
Chennai,153.8855421686747,5.86144578313253,118.80722891566265,19.801204819277107,7.820697958656008,47.22289156626506,1.2951807228915662,7.797302502804488,166
Cuttack,159.91666666666666,5.916666666666667,120.75,20.125,7.938528838808637,44.083333333333336,1.4166666666666667,7.081928639165482,12
Delhi,160.28313253012047,5.903614457831325,117.54819277108433,19.59136546184739,8.196465740277574,49.403614457831324,1.4578313253012047,8.061617297010605,166
Dharamsala,169.69230769230768,6.153846153846154,120.8076923076923,20.134615384615383,8.403811025109757,45.42307692307692,1.4230769230769231,7.279186271291534,26
Dubai,144.5,5.45,112.29,18.715,7.793710291873344,42.22,1.4,7.375785572775303,100
Durban,145.1,6.7,121.43333333333334,20.238888888888887,7.184790586002696,45.93333333333333,1.4666666666666666,7.273001805004372,30
East London,133.16666666666666,6.333333333333333,119.16666666666667,19.86111111111111,6.704331034303094,39.5,1.6666666666666667,6.146285863230664,6
Guwahati,169.83333333333334,6.5,123.16666666666667,20.52777777777778,8.263407281229126,50.5,1.6666666666666667,8.018106162843004,6
Hyderabad,158.28169014084506,5.704225352112676,117.85915492957747,19.643192488262912,8.233903835228762,47.66197183098591,1.3098591549295775,7.828605772301644,142
Indore,165.91666666666666,4.916666666666667,109.16666666666667,18.194444444444446,9.195041473567949,50.833333333333336,1.4166666666666667,8.267148727675044,12
Jaipur,155.87735849056602,5.452830188679245,118.65094339622641,19.7751572327044,7.892197127767082,45.77358490566038,1.3113207547169812,7.349068288144752,106
Johannesburg,143.25,5.75,121.25,20.208333333333332,7.094431861090404,41.875,1.625,6.695676496334391,16
Kimberley,149.5,6.5,121.0,20.166666666666668,7.40587161973816,40.0,1.6666666666666667,6.427374743164218,6
Kolkata,160.99425287356323,5.747126436781609,117.82758620689656,19.637931034482758,8.179053295974924,48.46551724137931,1.4252873563218391,7.769136691674428,174
Lucknow,160.34615384615384,6.5,121.73076923076923,20.28846153846154,7.900257036052977,48.92307692307692,1.3846153846153846,7.89870904071309,26
Mohali,167.5,7.9,123.5,20.583333333333332,8.130333397655301,45.6,1.7,7.247300944669367,10
Mumbai,165.01898734177215,6.0664556962025316,119.90189873417721,19.983649789029535,8.301911297878386,47.39873417721519,1.4525316455696202,7.655990867862222,316
Nagpur,147.0,8.0,123.66666666666667,20.61111111111111,7.131168158435592,44.166666666666664,1.8333333333333333,6.907622295940652,6
Navi Mumbai,159.16666666666666,6.611111111111111,121.55555555555556,20.25925925925926,7.847839883858681,47.22222222222222,1.6111111111111112,7.531751387014546,18
Port Elizabeth,145.21428571428572,5.5,119.78571428571429,19.964285714285715,7.225111193998424,44.785714285714285,1.6428571428571428,7.029665919327573,14
Pune,159.72916666666666,6.416666666666667,121.125,20.1875,7.898095236749614,44.104166666666664,1.4791666666666667,7.12075145464908,48
Raipur,142.8,5.1,118.0,19.666666666666664,7.266434551423022,38.0,1.7,6.128138928402086,10
Ranchi,143.58333333333334,5.833333333333333,118.91666666666667,19.819444444444446,7.255869538397164,39.0,1.4166666666666667,6.390587956377431,12
Sharjah,153.26785714285714,5.75,119.14285714285714,19.857142857142858,7.75282745099745,45.535714285714285,1.2142857142857142,7.329344006630592,56
Visakhapatnam,155.58333333333334,6.458333333333333,118.75,19.791666666666668,7.824263065494461,44.625,1.375,7.214729152229153,24
